Tabel 1
;;;;;;;;;;;;;;;;;;;
Positie;Etappe;Etappe Alg;Etappe Punt;Etappe Berg;Etappe Jong;Etappe Team;Etappe Alg;Etappe Punt;Etappe Berg;Etappe Jong;Ploegentijdrit;Eind Alg;Eind Punt;Eind Berg;Eind Jong;Eind Team Alg;Eind Team Punt;Eind Team Berg;Eind Team Jong
1;50;10;8;6;6;10;8;6;3;3;40;100;80;60;60;24;18;9;9
2;44;8;6;4;4;;;;;;32;80;60;40;40;;;;
3;40;6;4;3;3;;;;;;28;60;40;30;30;;;;
4;36;4;2;2;2;;;;;;24;50;30;20;20;;;;
5;32;2;1;1;1;;;;;;20;40;20;10;10;;;;
6;30;;;;;;;;;;16;36;10;;;;;;
7;28;;;;;;;;;;12;32;8;;;;;;
8;26;;;;;;;;;;8;28;6;;;;;;
9;24;;;;;;;;;;;24;4;;;;;;
10;22;;;;;;;;;;;22;2;;;;;;
11;20;;;;;;;;;;;20;;;;;;;
12;18;;;;;;;;;;;18;;;;;;;
13;16;;;;;;;;;;;16;;;;;;;
14;14;;;;;;;;;;;14;;;;;;;
15;12;;;;;;;;;;;12;;;;;;;
16;10;;;;;;;;;;;10;;;;;;;
17;8;;;;;;;;;;;8;;;;;;;
18;6;;;;;;;;;;;6;;;;;;;
19;4;;;;;;;;;;;4;;;;;;;
20;2;;;;;;;;;;;2;;;;;;;
