Tabel 1
;;;;;;
;ID;Voornaam;Achternaam;Ploeg 2018;Ploeg 2019;Prijs TDF 2019
;1;Chris;Froome;Team Sky;Team INEOS;6000000
;2;Egan;Bernal;Team Sky;Team INEOS;4500000
;3;Jonathan;Castroviejo;Team Sky;Team INEOS;1500000
;4;Michal;Kwiatkowski;Team Sky;Team INEOS;1500000
;5;Gianni;Moscon;Team Sky;Team INEOS;
;6;Wout;Poels;Team Sky;Team INEOS;2000000
;7;Luke;Rowe;Team Sky;Team INEOS;1000000
;8;Geraint;Thomas;Team Sky;Team INEOS;6000000
;9;Rigoberto;Uran;Team EF Education First-Drapac p/b Cannondale;EF Education First;2500000
;10;Simon;Clarke;Team EF Education First-Drapac p/b Cannondale;;
;11;Lawson;Craddock;Team EF Education First-Drapac p/b Cannondale;EF Education First;500000
;12;Daniel Felipe;Martinez;Team EF Education First-Drapac p/b Cannondale;;
;13;Taylor;Phinney;Team EF Education First-Drapac p/b Cannondale;;
;14;Pierre;Rolland;Team EF Education First-Drapac p/b Cannondale;;
;15;Tom;Scully;Team EF Education First-Drapac p/b Cannondale;;
;16;Sep;Vanmarcke;Team EF Education First-Drapac p/b Cannondale;;
;17;Romain;Bardet;AG2R La Mondiale;AG2R La Mondiale;3500000
;18;Silvan;Dillier;AG2R La Mondiale;AG2R La Mondiale;500000
;19;Axel;Domont;AG2R La Mondiale;AG2R La Mondiale;
;20;Mathias;Frank;AG2R La Mondiale;AG2R La Mondiale;750000
;21;Tony;Gallopin;AG2R La Mondiale;AG2R La Mondiale;750000
;22;Pierre;Latour;AG2R La Mondiale;AG2R La Mondiale;1000000
;23;Oliver;Naesen;AG2R La Mondiale;AG2R La Mondiale;750000
;24;Alexis;Vuillermoz;AG2R La Mondiale;AG2R La Mondiale;750000
;25;Michael;Matthews;Team Sunweb;Team Sunweb;3000000
;26;Tom;Dumoulin;Team Sunweb;Team Sunweb;4500000
;27;Nikias;Arndt;Team Sunweb;Team Sunweb;1000000
;28;Simon;Geschke;Team Sunweb;CCC Team;500000
;29;Chad;Haga;Team Sunweb;Team Sunweb;
;30;Søren;Kragh Andersen;Team Sunweb;Team Sunweb;750000
;31;Laurens;Ten Dam;Team Sunweb;CCC Team;500000
;32;Edward;Theuns;Team Sunweb;Trek-Segafredo;750000
;33;Warren;Barguil;Team Fortuneo - Samsic;Team Arkéa Samsic;1500000
;34;Maxime;Bouet;Team Fortuneo - Samsic;;
;35;Élie;Gesbert;Team Fortuneo - Samsic;Team Arkéa Samsic;500000
;36;Romain;Hardy;Team Fortuneo - Samsic;Team Arkéa Samsic;500000
;37;Kévin;Ledanois;Team Fortuneo - Samsic;;
;38;Amaël;Moinard;Team Fortuneo - Samsic;;
;39;Laurent;Pichon;Team Fortuneo - Samsic;;
;40;Florian;Vachon;Team Fortuneo - Samsic;;
;41;Vincenzo;Nibali;Bahrein Merida Pro Cycling Team;Bahrein Merida;2500000
;42;Sonny;Colbrelli;Bahrein Merida Pro Cycling Team;Bahrein Merida;2000000
;43;Heinrich;Haussler;Bahrein Merida Pro Cycling Team;Bahrein Merida;500000
;44;Gorka;Izagirre;Bahrein Merida Pro Cycling Team;Astana Pro Team;750000
;45;Ion;Izagirre;Bahrein Merida Pro Cycling Team;Astana Pro Team;
;46;Kristijan;Koren;Bahrein Merida Pro Cycling Team;Bahrein Merida;
;47;Franco;Pellizotti;Bahrein Merida Pro Cycling Team;;
;48;Domenico;Pozzovivo;Bahrein Merida Pro Cycling Team;Bahrein Merida;
;49;Adam;Yates;Mitchelton-Scott;Mitchelton-Scott;3500000
;50;Jack;Bauer;Mitchelton-Scott;;
;51;Luke;Durbridge;Mitchelton-Scott;;
;52;Mathew;Hayman;Mitchelton-Scott;;
;53;Michael;Hepburn;Mitchelton-Scott;;
;54;Damien;Howson;Mitchelton-Scott;Mitchelton-Scott;500000
;55;Daryl;Impey;Mitchelton-Scott;Mitchelton-Scott;750000
;56;Mikel;Nieve;Mitchelton-Scott;;
;57;Nairo;Quintana;Movistar Team;Movistar Team;3500000
;58;Andrey;Amador;Movistar Team;Movistar Team;750000
;59;Daniele;Bennati;Movistar Team;;
;60;Imanol;Erviti;Movistar Team;Movistar Team;500000
;61;Mikel;Landa;Movistar Team;Movistar Team;3000000
;62;José Joaquín;Rojas;Movistar Team;;
;63;Marc;Soler;Movistar Team;Movistar Team;1000000
;64;Alejandro;Valverde;Movistar Team;Movistar Team;2500000
;65;Richie;Porte;BMC Racing Team;Trek-Segafredo;3000000
;66;Patrick;Bevin;BMC Racing Team;CCC Team;750000
;67;Damiano;Caruso;BMC Racing Team;Bahrein Merida;1000000
;68;Simon;Gerrans;BMC Racing Team;;
;69;Stefan;Küng;BMC Racing Team;;
;70;Michael;Schär;BMC Racing Team;CCC Team;500000
;71;Greg;Van Avermaet;BMC Racing Team;CCC Team;1000000
;72;Tejay;Van Garderen;BMC Racing Team;EF Education First;1000000
;73;Dan;Martin;UAE-Team Emirates;UAE-Team Emirates;2500000
;74;Darwin;Atapuma;UAE-Team Emirates;Cofidis, Solutions Crédits;750000
;75;Kristijan;Durasek;UAE-Team Emirates;;
;76;Roberto;Ferrari;UAE-Team Emirates;;
;77;Alexander;Kristoff;UAE-Team Emirates;UAE-Team Emirates;2000000
;78;Marco;Marcato;UAE-Team Emirates;UAE-Team Emirates;500000
;79;Rory;Sutherland;UAE-Team Emirates;;
;80;Oliviero;Troia;UAE-Team Emirates;;
