Tabel 1
;;;;;;;;;;;;
;Race;Jaar;Etappe;Soort etappe;Uitslag;Uitslag rit;Algemeen;Punten;Jong;Berg;Uitvallers;Niet gestart
;Tour de France;2018;1;Vlak;1;Gaviria Fernando;Gaviria Fernando;Gaviria Fernando;Gaviria Fernando;Ledanois Kevin;;
;Tour de France;2018;1;Vlak;2;Sagan Peter;Sagan Peter;Sagan Peter;Groenewegen Dylan;;;
;Tour de France;2018;1;Vlak;3;Kittel Marcel;Kittel Marcel;Kittel Marcel;Boudat Thomas;;;
;Tour de France;2018;1;Vlak;4;Kristoff Alexander;Naesen Oliver;Kristoff Alexander;Benoot Tiesj;;;
;Tour de France;2018;1;Vlak;5;Laporte Christophe;Kristoff Alexander;Cousin Jerome;Zabel Rick;;;
;Tour de France;2018;1;Vlak;6;Groenewegen Dylan;Laporte Christophe;Ledanois Kevin;;;;
;Tour de France;2018;1;Vlak;7;Matthews Michael;Groenewegen Dylan;Laporte Christophe;;;;
;Tour de France;2018;1;Vlak;8;Degenkolb John;Matthews Michael;Offredo Yoann;;;;
;Tour de France;2018;1;Vlak;9;Fuglsang Jakob;Degenkolb John;Groenewegen Dylan;;;;
;Tour de France;2018;1;Vlak;10;Majka Rafal;Fuglsang Jakob;Matthews Michael;;;;
;Tour de France;2018;1;Vlak;11;Nibali Vincenzo;Majka Rafal;;;;;
;Tour de France;2018;1;Vlak;12;Dupont Timothy;Nibali Vincenzo;;;;;
;Tour de France;2018;1;Vlak;13;Boudat Thomas;Dupont Timothy;;;;;
;Tour de France;2018;1;Vlak;14;Thomas Geraint;Boudat Thomas;;;;;
;Tour de France;2018;1;Vlak;15;Jungels Bob;Thomas Geraint;;;;;
;Tour de France;2018;1;Vlak;16;Valgren Michael;Jungels Bob;;;;;
;Tour de France;2018;1;Vlak;17;Richeze Maximiliano;Valgren Michael;;;;;
;Tour de France;2018;1;Vlak;18;Gilbert Philippe;Richeze Maximiliano;;;;;
;Tour de France;2018;1;Vlak;19;Boasson Hagen Edwald;Gilbert Philippe;;;;;
;Tour de France;2018;1;Vlak;20;Colbrelli Sonny;Boasson Hagen Edwald;;;;;
;Tour de France;2018;2;Vlak;1;Sagan Peter;Sagan Peter;Sagan Peter;Gaviria Fernando;Smith Dion;103;
;Tour de France;2018;2;Vlak;2;Colbrelli Sonny;Gaviria Fernando;Gaviria Fernando;Groenewegen Dylan;Ledanois Kevin;158;
;Tour de France;2018;2;Vlak;3;Demare Arnaud;Colbrelli Sonny;Kristoff Alexander;Smith Dion;;;
;Tour de France;2018;2;Vlak;4;Greipel Andre;Chavanel Sylvain;Demare Arnaud;Benoot Tiesj;;;
;Tour de France;2018;2;Vlak;5;Kristoff Alexander;Gilbert Philippe;Greipel Andre;Boudat Thomas;;;
;Tour de France;2018;2;Vlak;6;Dupont Timothy;Thomas Geraint;Colbrelli Sonny;;;;
;Tour de France;2018;2;Vlak;7;Valverde Alejandro;Naesen Oliver;Kittel Marcel;;;;
;Tour de France;2018;2;Vlak;8;Pasqualon Andrea;Kristoff Alexander;Chavanel Sylvain;;;;
;Tour de France;2018;2;Vlak;9;Degenkolb John;Degenkolb John;Cousin Jerome;;;;
;Tour de France;2018;2;Vlak;10;Gilbert Philippe;Dupont Timothy;Dupont Timothy;;;;
;Tour de France;2018;2;Vlak;11;Alaphilippe Julian;Jungels Bob;;;;;
;Tour de France;2018;2;Vlak;12;Stuyven Jasper;Greipel Andre;;;;;
;Tour de France;2018;2;Vlak;13;Van Keirsbulck Guillaume;Pasqualon Andrea;;;;;
;Tour de France;2018;2;Vlak;14;Jungels Bob;Stuyven Jasper;;;;;
;Tour de France;2018;2;Vlak;15;Van Avermaet Greg;Alaphilippe Julian;;;;;
;Tour de France;2018;2;Vlak;16;Dumoulin Tom;Fuglsang Jakob;;;;;
;Tour de France;2018;2;Vlak;17;Latour Pierre;Groenewegen Dylan;;;;;
;Tour de France;2018;2;Vlak;18;Porte Richie;Van Avermaet Greg;;;;;
;Tour de France;2018;2;Vlak;19;Rolland Pierre;Dumoulin Tom;;;;;
;Tour de France;2018;2;Vlak;20;De Kort Koen;Valverde Alejandro;;;;;
;Tour de France;2018;3;Tijdrit Ploeg;1;BMC Racing Team;Van Avermaet Greg;Sagan Peter;Kragh Andersen Soren;Smith Dion;;
;Tour de France;2018;3;Tijdrit Ploeg;2;Team Sky;Van Garderen Tejay;Gaviria Fernando;Bernal Egan;Ledanois Kevin;;
;Tour de France;2018;3;Tijdrit Ploeg;3;Quick-Step Floors;Thomas Geraint;Kristoff Alexander;Cort Magnus;;;
;Tour de France;2018;3;Tijdrit Ploeg;4;Mitchelton-Scott;Gilbert Philippe;Demare Arnaud;Boudat Thomas;;;
;Tour de France;2018;3;Tijdrit Ploeg;5;Team Sunweb;Jungels Bob;Greipel Andre;Benoot Tiesj;;;
;Tour de France;2018;3;Tijdrit Ploeg;6;Team EF Education First;Alaphilippe Julian;Colbrelli Sonny;;;;
;Tour de France;2018;3;Tijdrit Ploeg;7;BORA - hansgrohe;Dumoulin Tom;Kittel Marcel;;;;
;Tour de France;2018;3;Tijdrit Ploeg;8;Astana Pro Team;Kragh Andersen Soren;Chavanel Sylvain;;;;
;Tour de France;2018;3;Tijdrit Ploeg;9;;Matthews Michael;Cousin Jerome;;;;
;Tour de France;2018;3;Tijdrit Ploeg;10;;Uran Rigoberto;Dupont Timothy;;;;
;Tour de France;2018;3;Tijdrit Ploeg;11;;Majka Rafal;;;;;
;Tour de France;2018;3;Tijdrit Ploeg;12;;Oss Daniel;;;;;
;Tour de France;2018;3;Tijdrit Ploeg;13;;Fuglsang Jakob;;;;;
;Tour de France;2018;3;Tijdrit Ploeg;14;;Porte Richie;;;;;
;Tour de France;2018;3;Tijdrit Ploeg;15;;Zakarin Ilnur;;;;;
;Tour de France;2018;3;Tijdrit Ploeg;16;;Valverde Alejandro;;;;;
;Tour de France;2018;3;Tijdrit Ploeg;17;;Landa Mikel;;;;;
;Tour de France;2018;3;Tijdrit Ploeg;18;;Froome Chris;;;;;
;Tour de France;2018;3;Tijdrit Ploeg;19;;Phinney Taylor;;;;;
;Tour de France;2018;3;Tijdrit Ploeg;20;;Yates Adam;;;;;
;Tour de France;2018;4;Vlak;1;Gaviria Fernando;Van Avermaet Greg;Sagan Peter;Kragh Andersen Soren;Smith Dion;19;
;Tour de France;2018;4;Vlak;2;Sagan Peter;Van Garderen Tejay;Gaviria Fernando;Bernal Egan;Perez Anthony;;
;Tour de France;2018;4;Vlak;3;Greipel Andre;Thomas Geraint;Kristoff Alexander;Cort Magnus;Ledanois Kevin;;
;Tour de France;2018;4;Vlak;4;Groenewegen Dylan;Gilbert Philippe;Greipel Andre;Boudat Thomas;;;
;Tour de France;2018;4;Vlak;5;Kittel Marcel;Alaphilippe Julian;Demare Arnaud;Tolhoek Antwan;;;
;Tour de France;2018;4;Vlak;6;Pasqualon Andrea;Jungels Bob;Kittel Marcel;;;;
;Tour de France;2018;4;Vlak;7;Kristoff Alexander;Dumoulin Tom;Degenkolb John;;;;
;Tour de France;2018;4;Vlak;8;Degenkolb John;Kragh Andersen Soren;Cousin Jerome;;;;
;Tour de France;2018;4;Vlak;9;Smith Dion;Matthews Michael;Pasqualon Andrea;;;;
;Tour de France;2018;4;Vlak;10;Dupont Timothy;Uran Rigoberto;Groenewegen Dylan;;;;
;Tour de France;2018;4;Vlak;11;Demare Arnaud;Majka Rafal;;;;;
;Tour de France;2018;4;Vlak;12;Calmejane Lilian;Oss Daniel;;;;;
;Tour de France;2018;4;Vlak;13;Boudat Thomas;Fuglsang Jakob;;;;;
;Tour de France;2018;4;Vlak;14;Barguil Warren;Porte Richie;;;;;
;Tour de France;2018;4;Vlak;15;Alaphilippe Julian;Valverde Alejandro;;;;;
;Tour de France;2018;4;Vlak;16;Van Avermaet Greg;Landa Mikel;;;;;
;Tour de France;2018;4;Vlak;17;Zabel Rick;Froome Chris;;;;;
;Tour de France;2018;4;Vlak;18;Gilbert Philippe;Yates Adam;;;;;
;Tour de France;2018;4;Vlak;19;Pichon Laurent;Nibali Vincenzo;;;;;
;Tour de France;2018;4;Vlak;20;Bernal Egan;Bardet Romain;;;;;
;Tour de France;2018;5;Heuvel;1;Sagan Peter;Van Avermaet Greg;Sagan Peter;Kragh Andersen Soren;Skujins Toms;115;25
;Tour de France;2018;5;Heuvel;2;Colbrelli Sonny;Van Garderen Tejay;Gaviria Fernando;Bernal Egan;Chavanel Sylvain;;138
;Tour de France;2018;5;Heuvel;3;Gilbert Philippe;Gilbert Philippe;Kristoff Alexander;Cort Magnus;Calmejane Lilian;;
;Tour de France;2018;5;Heuvel;4;Valverde Alejandro;Thomas Geraint;Greipel Andre;Tolhoek Antwan;Smith Dion;;
;Tour de France;2018;5;Heuvel;5;Alaphilippe Julian;Alaphilippe Julian;Demare Arnaud;Smith Dion;Ledanois Kevin;;
;Tour de France;2018;5;Heuvel;6;Martin Dan;Jungels Bob;Colbrelli Sonny;;;;
;Tour de France;2018;5;Heuvel;7;Van Avermaet Greg;Dumoulin Tom;Kittel Marcel;;;;
;Tour de France;2018;5;Heuvel;8;Kragh Andersen Soren;Kragh Andersen Soren;Pasqualon Andrea;;;;
;Tour de France;2018;5;Heuvel;9;Pasqualon Andrea;Uran Rigoberto;Chavanel Sylvain;;;;
;Tour de France;2018;5;Heuvel;10;Nibali Vincenzo;Majka Rafal;Degenkolb John;;;;
;Tour de France;2018;5;Heuvel;11;Simon Julien;Fuglsang Jakob;;;;;
;Tour de France;2018;5;Heuvel;12;Thomas Geraint;Porte Richie;;;;;
;Tour de France;2018;5;Heuvel;13;Latour Pierre;Valverde Alejandro;;;;;
;Tour de France;2018;5;Heuvel;14;Froome Chris;Landa Mikel;;;;;
;Tour de France;2018;5;Heuvel;15;Vanendert Jell;Froome Chris;;;;;
;Tour de France;2018;5;Heuvel;16;Bernal Egan;Yates Adam;;;;;
;Tour de France;2018;5;Heuvel;17;Quintana Nairo;Nibali Vincenzo;;;;;
;Tour de France;2018;5;Heuvel;18;Porte Richie;Bardet Romain;;;;;
;Tour de France;2018;5;Heuvel;19;Fuglsang Jakob;Roglic Primoz;;;;;
;Tour de France;2018;5;Heuvel;20;Majka Rafal;Kruijswijk Steven;;;;;
;Tour de France;2018;6;Heuvel;1;Martin Dan;Van Avermaet Greg;Sagan Peter;Kragh Andersen Soren;Skujins Toms;;
;Tour de France;2018;6;Heuvel;2;Latour Pierre;Thomas Geraint;Gaviria Fernando;Bernal Egan;Chavanel Sylvain;;
;Tour de France;2018;6;Heuvel;3;Valverde Alejandro;Van Garderen Tejay;Kristoff Alexander;Latour Pierre;Smith Dion;;
;Tour de France;2018;6;Heuvel;4;Alaphilippe Julian;Alaphilippe Julian;Greipel Andre;Cort Magnus;Calmejane Lilian;;
;Tour de France;2018;6;Heuvel;5;Majka Rafal;Gilbert Philippe;Demare Arnaud;Martin Guillaume;Martin Dan;;
;Tour de France;2018;6;Heuvel;6;Yates Adam;Jungels Bob;Colbrelli Sonny;;;;
;Tour de France;2018;6;Heuvel;7;Mollema Bauke;Uran Rigoberto;Valverde Alejandro;;;;
;Tour de France;2018;6;Heuvel;8;Sagan Peter;Valverde Alejandro;Kittel Marcel;;;;
;Tour de France;2018;6;Heuvel;9;Thomas Geraint;Majka Rafal;Martin Dan;;;;
;Tour de France;2018;6;Heuvel;10;Roglic Primoz;Fuglsang Jakob;Alaphilippe Julian;;;;
;Tour de France;2018;6;Heuvel;11;Porte Richie;Porte Richie;;;;;
;Tour de France;2018;6;Heuvel;12;Van Avermaet Greg;Landa Mikel;;;;;
;Tour de France;2018;6;Heuvel;13;Quintana Nairo;Yates Adam;;;;;
;Tour de France;2018;6;Heuvel;14;Nibali Vincenzo;Froome Chris;;;;;
;Tour de France;2018;6;Heuvel;15;Fuglsang Jakob;Kragh Andersen Soren;;;;;
;Tour de France;2018;6;Heuvel;16;Landa Mikel;Nibali Vincenzo;;;;;
;Tour de France;2018;6;Heuvel;17;Van Garderen Tejay;Roglic Primoz;;;;;
;Tour de France;2018;6;Heuvel;18;Froome Chris;Mollema Bauke;;;;;
;Tour de France;2018;6;Heuvel;19;Uran Rigoberto;Dumoulin Tom;;;;;
;Tour de France;2018;6;Heuvel;20;Barguil Warren;Kruijswijk Steven;;;;;
;Tour de France;2018;7;Vlak;1;Groenewegen Dylan;Van Avermaet Greg;Sagan Peter;Kragh Andersen Soren;Skujins Toms;;
;Tour de France;2018;7;Vlak;2;Gaviria Fernando;Thomas Geraint;Gaviria Fernando;Bernal Egan;Chavanel Sylvain;;
;Tour de France;2018;7;Vlak;3;Sagan Peter;Van Garderen Tejay;Kristoff Alexander;Latour Pierre;Smith Dion;;
;Tour de France;2018;7;Vlak;4;Demare Arnaud;Alaphilippe Julian;Greipel Andre;Cort Magnus;Calmejane Lilian;;
;Tour de France;2018;7;Vlak;5;Laporte Christophe;Gilbert Philippe;Groenewegen Dylan;Martin Guillaume;Martin Dan;;
;Tour de France;2018;7;Vlak;6;Degenkolb John;Jungels Bob;Demare Arnaud;;;;
;Tour de France;2018;7;Vlak;7;Impey Daryl;Uran Rigoberto;Colbrelli Sonny;;;;
